brand,total_registered_vehicles,median_vehicle_age,median_engine_cc,median_power_kw,median_mileage,brand_share_of_market
renault burstne,1,20.0,2950.0,100.0,129846.0,3.898541243837381e-07
renault-miller,1,19.0,2460.0,84.0,126817.0,3.898541243837381e-07
renault-elnagh,1,20.0,2950.0,100.0,140803.0,3.898541243837381e-07
renault-elddis,1,32.0,2160.0,71.0,52438.0,3.898541243837381e-07
renault-dacia,1,3.0,1998.0,99.0,105002.0,3.898541243837381e-07
renault-arca,1,18.0,2460.0,107.0,113025.0,3.898541243837381e-07
renault-alpine,1,44.0,2645.0,110.0,3754.0,3.898541243837381e-07
renault la strada,1,13.0,2299.0,107.0,233002.0,3.898541243837381e-07
renault adria,1,9.0,2299.0,110.0,42677.0,3.898541243837381e-07
spier,1,8.0,2143.0,105.0,222923.0,3.898541243837381e-07
remetz,1,18.0,2140.0,125.0,179805.0,3.898541243837381e-07
reliant,1,38.0,1590.0,,71408.0,3.898541243837381e-07
rapido camping-cars,1,15.0,2999.0,115.5,162875.0,3.898541243837381e-07
raceabout,1,23.0,1980.0,136.0,254.0,3.898541243837381e-07
princess,1,47.0,1798.0,62.0,1470.0,3.898541243837381e-07
popeda,1,26.0,2120.0,,59562.0,3.898541243837381e-07
pobeda,1,32.0,2120.0,,44831.0,3.898541243837381e-07
renault-rimor,1,19.0,2953.0,100.0,137756.0,3.898541243837381e-07
renault-theault,1,17.0,2464.0,107.0,271897.0,3.898541243837381e-07
renault/ prentki,1,7.0,2299.0,125.0,128707.0,3.898541243837381e-07
renault/knaus,1,18.0,2464.0,88.0,186954.0,3.898541243837381e-07
solifer,1,11.0,2287.0,96.0,110561.0,3.898541243837381e-07
smz,1,9.0,,,9.0,3.898541243837381e-07
skyworth,1,0.0,,,2025.0,3.898541243837381e-07
skd,1,4.0,1498.0,96.0,84485.0,3.898541243837381e-07
sitcar,1,14.0,4249.0,130.0,354646.0,3.898541243837381e-07
simca / fiat,1,17.0,570.0,,10.0,3.898541243837381e-07
shelby,1,10.0,7014.0,261.0,43101.0,3.898541243837381e-07
shay,1,11.0,2295.0,65.0,8984.0,3.898541243837381e-07
sears,1,21.0,850.0,,,3.898541243837381e-07
sea fiat,1,18.0,2800.0,94.0,142948.0,3.898541243837381e-07
saturn,1,4.0,2384.0,124.0,110980.0,3.898541243837381e-07
saleen,1,18.0,4602.0,308.0,131122.0,3.898541243837381e-07
saab-lancia,1,39.0,1498.0,63.0,121957.0,3.898541243837381e-07
rugby,1,,4780.0,,,3.898541243837381e-07
rivian,1,3.0,,,110681.0,3.898541243837381e-07
skida,1,10.0,1395.0,81.0,206397.0,3.898541243837381e-07
iveco-hobby,1,17.0,2998.0,130.0,170587.0,3.898541243837381e-07
neoplan,1,35.0,,266.0,52253.0,3.898541243837381e-07
fiat mc-louis,1,18.0,2800.0,94.0,66449.0,3.898541243837381e-07
fiat-lastrada,1,12.0,2287.0,109.0,138021.0,3.898541243837381e-07
fiat-hymermobil,1,23.0,2800.0,94.0,161127.0,3.898541243837381e-07
fiat-evm,1,21.0,2290.0,81.0,316224.0,3.898541243837381e-07
fiat-cristall,1,22.0,2800.0,94.0,139268.0,3.898541243837381e-07
fiat-ci caravan,1,31.0,1920.0,60.0,264919.0,3.898541243837381e-07
fiat-chateau,1,17.0,2999.0,116.0,68595.0,3.898541243837381e-07
fiat-carioca,1,26.0,1910.0,66.0,122989.0,3.898541243837381e-07
fiat-autoroller,1,24.0,2800.0,90.0,136338.0,3.898541243837381e-07
fiat-ahorn,1,25.0,1905.0,66.0,45331.0,3.898541243837381e-07
fiat teve,1,30.0,2500.0,,158916.0,3.898541243837381e-07
fiat sun living,1,8.0,2287.0,96.0,46035.0,3.898541243837381e-07
fiat hymer camp,1,34.0,2490.0,70.0,308670.0,3.898541243837381e-07
fiat-niesmann+bishoff,1,16.0,2287.0,95.5,105417.0,3.898541243837381e-07
fiat hymer,1,20.0,2800.0,94.0,123657.0,3.898541243837381e-07
fiat ducato affinity,1,2.0,2184.0,118.0,2977.0,3.898541243837381e-07
fiat dethleffs,1,18.0,2290.0,88.0,242691.0,3.898541243837381e-07
fiat cpt,1,19.0,2800.0,94.0,123357.0,3.898541243837381e-07
fiat challenger,1,21.0,2280.0,81.0,159591.0,3.898541243837381e-07
fiat adriatik,1,20.0,2280.0,81.0,121577.0,3.898541243837381e-07
facel,1,1.0,6277.0,295.0,81823.0,3.898541243837381e-07
evante,1,36.0,1699.0,103.0,42425.0,3.898541243837381e-07
eura mobil - fiat,1,18.0,2999.0,115.5,109151.0,3.898541243837381e-07
eura,1,17.0,2198.0,96.0,176194.0,3.898541243837381e-07
era,1,14.0,7014.0,338.0,13117.0,3.898541243837381e-07
fiat-mclois,1,17.0,2198.0,74.0,159066.0,3.898541243837381e-07
fiat-roller,1,21.0,2800.0,94.0,185229.0,3.898541243837381e-07
neo-traveller,1,10.0,2999.0,130.0,94163.0,3.898541243837381e-07
ford chausson,1,21.0,2400.0,92.0,173857.0,3.898541243837381e-07
ford-dethleffs/sunlight,1,17.0,2198.0,81.0,133471.0,3.898541243837381e-07
ford-dethleffs/globecar,1,17.0,2198.0,81.0,152953.0,3.898541243837381e-07
ford-detfleffs,1,19.0,1990.0,92.0,132737.0,3.898541243837381e-07
ford-avec,1,23.0,1990.0,74.0,230094.0,3.898541243837381e-07
ford-a,1,23.0,3280.0,29.0,76064.0,3.898541243837381e-07
ford transit,1,29.0,2490.0,56.0,246355.0,3.898541243837381e-07
ford sunlight,1,15.0,2402.0,103.0,80057.0,3.898541243837381e-07
ford prefect,1,28.0,1100.0,,47000.0,3.898541243837381e-07
ford mustang,1,17.0,4730.0,165.0,48883.0,3.898541243837381e-07
ford mercury,1,37.0,4940.0,143.0,87232.0,3.898541243837381e-07
ford hehn-mobil,1,33.0,2490.0,59.0,66211.0,3.898541243837381e-07
ford a,1,21.0,3290.0,30.0,3180.0,3.898541243837381e-07
fiat-roller team,1,15.0,2287.0,95.0,112445.0,3.898541243837381e-07
ford 125 t350,1,20.0,2000.0,92.0,178550.0,3.898541243837381e-07
fiat/dethleffs,1,18.0,2287.0,96.0,236815.0,3.898541243837381e-07
fiat/challenger,1,21.0,2280.0,81.0,66240.0,3.898541243837381e-07
fiat/benimar,1,7.0,2287.0,110.0,102414.0,3.898541243837381e-07
fiat-tramobil,1,17.0,2287.0,88.0,206439.0,3.898541243837381e-07
fiat-teve,1,28.0,2490.0,85.0,135099.0,3.898541243837381e-07
fiat-sunlight,1,19.0,2280.0,81.0,210802.0,3.898541243837381e-07
fiat-solifer-capron,1,14.0,2287.0,95.5,100820.0,3.898541243837381e-07
fiat-smc,1,34.0,2440.0,68.0,109766.0,3.898541243837381e-07
fiat-sea dart,1,19.0,2000.0,62.0,77347.0,3.898541243837381e-07
fiat-s.e.a.,1,17.0,2198.0,74.0,142687.0,3.898541243837381e-07
elegant,1,13.0,6600.0,,2500.0,3.898541243837381e-07
eagle,1,21.0,3510.0,155.0,161591.0,3.898541243837381e-07
dual ghia,1,26.0,5160.0,191.0,609.0,3.898541243837381e-07
austin super,1,63.0,848.0,27.0,85356.0,3.898541243837381e-07
bmw-beme,1,36.0,4980.0,,314116.0,3.898541243837381e-07
bmc,1,57.0,998.0,26.0,98259.0,3.898541243837381e-07
blmc,1,,990.0,,68471.0,3.898541243837381e-07
bl cars (gb),1,42.0,1326.0,51.0,67352.0,3.898541243837381e-07
biemme special cars,1,8.0,2987.0,202.0,42989.0,3.898541243837381e-07
bedford-hymer,1,38.0,2270.0,,73006.0,3.898541243837381e-07
barkas-veb,1,45.0,992.0,34.0,35667.0,3.898541243837381e-07
barkas,1,60.0,990.0,33.1,20863.0,3.898541243837381e-07
baldi,1,5.0,,,603.0,3.898541243837381e-07
baci,1,14.0,4940.0,149.0,34221.0,3.898541243837381e-07
austin-mini,1,15.0,1000.0,31.0,49421.0,3.898541243837381e-07
audi-porsche,1,26.0,1781.0,165.0,248938.0,3.898541243837381e-07
dodge-brothers,1,0.0,3400.0,43.0,24818.0,3.898541243837381e-07
audi tt,1,20.0,1780.0,132.0,140491.0,3.898541243837381e-07
armstrong-siddeley,1,13.0,3435.0,114.0,,3.898541243837381e-07
armstrong siddeley,1,13.0,3435.0,112.0,10400.0,3.898541243837381e-07
arbeitsgem.vw-m,1,36.0,5650.0,,346908.0,3.898541243837381e-07
amphicar,1,31.0,1140.0,28.0,34671.0,3.898541243837381e-07
american la france,1,,,,,3.898541243837381e-07
ameise,1,62.0,2550.0,,,3.898541243837381e-07
allard,1,27.0,2260.0,,47005.0,3.898541243837381e-07
adler trumpf,1,17.0,1645.0,28.0,7171.0,3.898541243837381e-07
adam opel,1,18.0,1910.0,88.0,172801.0,3.898541243837381e-07
ac cobra shelby 427,1,5.0,6262.0,220.0,26950.0,3.898541243837381e-07
bond,1,26.0,1990.0,,85463.0,3.898541243837381e-07
buick special,1,19.0,4330.0,188.0,74210.0,3.898541243837381e-07
burstner gmbh,1,11.0,2287.0,96.0,122568.0,3.898541243837381e-07
bus-prestige,1,3.0,1950.0,125.0,290975.0,3.898541243837381e-07
diana,1,,3938.0,49.0,15.0,3.898541243837381e-07
delorean,1,10.0,2849.0,116.0,23895.0,3.898541243837381e-07
de dion-bouton,1,,942.0,,,3.898541243837381e-07
crosley,1,0.0,724.0,20.0,38051.0,3.898541243837381e-07
crestmobile,1,15.0,,,,3.898541243837381e-07
cord,1,18.0,4730.0,161.0,30063.0,3.898541243837381e-07
continental,1,3.0,7538.0,240.0,71729.0,3.898541243837381e-07
contemporary,1,46.0,6997.0,,7627.0,3.898541243837381e-07
commerce,1,11.0,3256.0,,,3.898541243837381e-07
cobra,1,31.0,5752.0,386.0,11746.0,3.898541243837381e-07
clever,1,3.0,2179.0,121.0,,3.898541243837381e-07
citroen/dethleffs,1,17.0,2198.0,88.0,170000.0,3.898541243837381e-07
citroen-pilote,1,35.0,2500.0,70.0,150523.0,3.898541243837381e-07
citroen-piccolo,1,33.0,1970.0,55.0,76872.0,3.898541243837381e-07
citroen-mooveo,1,18.0,2200.0,88.0,289669.0,3.898541243837381e-07
citroen-la strada,1,16.0,2198.0,88.0,74411.0,3.898541243837381e-07
citroen-dethlef,1,19.0,2800.0,94.0,230541.0,3.898541243837381e-07
chrysler-simca,1,48.0,1440.0,,46291.0,3.898541243837381e-07
chrysler lancia,1,13.0,2776.0,120.0,235969.0,3.898541243837381e-07
chevrolet-flee,1,37.0,6210.0,119.0,112331.0,3.898541243837381e-07
caravans intern,1,20.0,2800.0,93.0,192759.0,3.898541243837381e-07
carado,1,2.0,1995.0,125.0,105.0,3.898541243837381e-07
bürstner,1,13.0,2287.0,96.0,72250.0,3.898541243837381e-07
ford-fendt,1,17.0,2198.0,96.0,252396.0,3.898541243837381e-07
ford-four winds,1,17.0,6792.0,266.0,23513.0,3.898541243837381e-07
ford-granduca,1,32.0,2490.0,74.0,19391.0,3.898541243837381e-07
mb-elnagh,1,25.0,2870.0,90.0,342473.0,3.898541243837381e-07
mercedes,1,18.0,1770.0,,70783.0,3.898541243837381e-07
mcc smart,1,24.0,590.0,33.0,158079.0,3.898541243837381e-07
mcc,1,24.0,599.0,40.0,101183.0,3.898541243837381e-07
mc louis,1,17.0,2287.0,96.0,217742.0,3.898541243837381e-07
mbcarlsson,1,22.0,3190.0,160.0,317580.0,3.898541243837381e-07
mb-westfalia,1,24.0,2690.0,115.0,285709.0,3.898541243837381e-07
mb-rotec,1,22.0,2680.0,115.0,170320.0,3.898541243837381e-07
mb-rmb,1,36.0,2930.0,65.0,189732.0,3.898541243837381e-07
mb-hehn,1,24.0,2680.0,115.0,265504.0,3.898541243837381e-07
mb-grenzland,1,35.0,3970.0,85.0,306913.0,3.898541243837381e-07
mb-ffb,1,30.0,2870.0,72.0,267087.0,3.898541243837381e-07
mb-dethleffs,1,27.0,2870.0,90.0,245031.0,3.898541243837381e-07
lada niva,1,21.0,1690.0,59.0,108265.0,3.898541243837381e-07
mb-clou,1,33.0,2870.0,70.0,80407.0,3.898541243837381e-07
mb-adria mobil,1,20.0,2690.0,115.0,233408.0,3.898541243837381e-07
mb rapido,1,19.0,2690.0,115.0,280363.0,3.898541243837381e-07
matra-simca,1,,1290.0,62.0,74181.0,3.898541243837381e-07
marmon,1,23.0,5570.0,,99996.0,3.898541243837381e-07
marcos,1,29.0,3998.0,140.0,35814.0,3.898541243837381e-07
malibu,1,7.0,2287.0,96.0,24187.0,3.898541243837381e-07
magyar suzuki (h),1,23.0,1298.0,56.0,143406.0,3.898541243837381e-07
lti,1,14.0,2499.0,74.0,12336.0,3.898541243837381e-07
lorraine dietrich,1,12.0,3446.0,29.5,39107.0,3.898541243837381e-07
lincoln zephyr,1,,4400.0,82.0,75297.0,3.898541243837381e-07
mercedes benz mirage,1,26.0,2874.0,90.0,171807.0,3.898541243837381e-07
mercedes-benz - rimor,1,27.0,2874.0,90.0,359059.0,3.898541243837381e-07
mercedes-benz / auto-form,1,7.0,2987.0,140.0,435664.0,3.898541243837381e-07
mercedes-benz / indusauto,1,6.0,1950.0,143.0,78922.0,3.898541243837381e-07
nash ambassador,1,33.0,5350.0,,1839.0,3.898541243837381e-07
monark,1,48.0,4950.0,,42390.0,3.898541243837381e-07
mitsubishi-frankia,1,38.0,2450.0,51.0,211796.0,3.898541243837381e-07
mitsubishi-eura-mobil,1,36.0,2470.0,51.0,195235.0,3.898541243837381e-07
midas,1,53.0,997.0,34.0,87662.0,3.898541243837381e-07
"mg,roewe",1,3.0,1490.0,119.0,24312.0,3.898541243837381e-07
metropolitan,1,23.0,1480.0,,39423.0,3.898541243837381e-07
meteor,1,5.0,5440.0,168.0,1404.0,3.898541243837381e-07
merkur,1,38.0,2302.0,130.0,72230.0,3.898541243837381e-07
mercedes-benz/zeszuta,1,6.0,2987.0,140.0,417964.0,3.898541243837381e-07
mercedes-benz-weinsberg,1,15.0,2987.0,135.0,58622.0,3.898541243837381e-07
mercedes-benz-v,1,33.0,2870.0,72.0,135535.0,3.898541243837381e-07
mercedes-benz-pilote,1,27.0,2900.0,90.0,155366.0,3.898541243837381e-07
mercedes-benz-lmc,1,17.0,2148.0,110.0,90081.0,3.898541243837381e-07
mercedes-benz-laika,1,23.0,2685.0,115.0,128963.0,3.898541243837381e-07
mercedes-benz-eura mobil,1,21.0,2685.0,115.0,176526.0,3.898541243837381e-07
mercedes-benz-cs,1,22.0,2148.0,95.0,247461.0,3.898541243837381e-07
mercedes-benz-clou,1,34.0,5958.0,129.0,199900.0,3.898541243837381e-07
mercedes-benz-ci,1,15.0,2143.0,150.0,355953.0,3.898541243837381e-07
mercedes-benz-adriatik,1,5.0,1950.0,143.0,148364.0,3.898541243837381e-07
mercedes-benz mfc,1,8.0,2143.0,120.0,231849.0,3.898541243837381e-07
mercedes-benz lmc,1,18.0,2148.0,110.0,156929.0,3.898541243837381e-07
mercedes-benz bus perfect,1,4.0,2987.0,140.0,736.0,3.898541243837381e-07
laughlin-buick,1,42.0,3390.0,44.0,25524.0,3.898541243837381e-07
la salle,1,34.0,5280.0,,2489.0,3.898541243837381e-07
ford-gulfstream,1,30.0,7260.0,132.0,92315.0,3.898541243837381e-07
ginetta,1,34.0,3948.0,148.0,36176.0,3.898541243837381e-07
invicta,1,11.0,4467.0,80.0,5414.0,3.898541243837381e-07
ilves,1,73.0,1911.0,41.0,1.0,3.898541243837381e-07
hongqi,1,1.0,,,73.0,3.898541243837381e-07
holden,1,70.0,2170.0,,,3.898541243837381e-07
haval,1,3.0,1967.0,140.0,24897.0,3.898541243837381e-07
hansa,1,65.0,1093.0,29.0,12276.0,3.898541243837381e-07
gutbrod,1,9.0,593.0,,58026.0,3.898541243837381e-07
great wall motor company limited,1,0.0,1998.0,150.0,642.0,3.898541243837381e-07
graham paige,1,,3470.0,,,3.898541243837381e-07
graham,1,17.0,3671.0,63.0,,3.898541243837381e-07
gmc truck,1,31.0,6210.0,115.0,100338.0,3.898541243837381e-07
geo,1,28.0,1580.0,,315042.0,3.898541243837381e-07
kuhlmann-cars,1,5.0,1991.0,145.0,44088.0,3.898541243837381e-07
genata,1,9.0,2143.0,120.0,39234.0,3.898541243837381e-07
freightliner-damon,1,23.0,5883.0,202.0,160648.0,3.898541243837381e-07
freightliner,1,27.0,5880.0,200.0,800889.0,3.898541243837381e-07
frazer,1,10.0,3712.0,84.0,55287.0,3.898541243837381e-07
forster,1,0.0,2184.0,103.0,63.0,3.898541243837381e-07
forest river,1,18.0,6760.0,266.0,19724.0,3.898541243837381e-07
ford/hobby,1,18.0,2400.0,103.0,125833.0,3.898541243837381e-07
ford-roller,1,29.0,2490.0,56.0,273581.0,3.898541243837381e-07
ford-riviera,1,29.0,2500.0,56.0,76373.0,3.898541243837381e-07
ford-rimon,1,22.0,2400.0,66.0,131982.0,3.898541243837381e-07
ford-pössl,1,19.0,2190.0,96.0,171003.0,3.898541243837381e-07
irmscher,1,34.0,3983.0,200.0,141636.0,3.898541243837381e-07
iso rivolta,1,14.0,5733.0,221.0,36064.0,3.898541243837381e-07
isotta fraschin,1,28.0,5900.0,59.0,62434.0,3.898541243837381e-07
iveco / niesmann + bischoff,1,17.0,2998.0,130.0,105196.0,3.898541243837381e-07
ktm,1,16.0,1984.0,177.0,,3.898541243837381e-07
ks. huom.,1,35.0,2990.0,66.0,85261.0,3.898541243837381e-07
kissel,1,,3300.0,49.0,91032.0,3.898541243837381e-07
kentucky camp,1,9.0,2299.0,110.0,100208.0,3.898541243837381e-07
kellison,1,11.0,6555.0,,8855.0,3.898541243837381e-07
karma automotive llc,1,6.0,1998.0,156.0,40655.0,3.898541243837381e-07
jensen healey,1,23.0,1970.0,,28160.0,3.898541243837381e-07
jc sports midge,1,50.0,1493.0,53.0,77766.0,3.898541243837381e-07
javelin,1,,5600.0,,77863.0,3.898541243837381e-07
iz,1,47.0,1480.0,64.7,28784.0,3.898541243837381e-07
iveco/niesmann+bischoff,1,18.0,2998.0,130.0,159486.0,3.898541243837381e-07
iveco-nordic,1,30.0,2490.0,,56074.0,3.898541243837381e-07
iveco-mobilvett,1,30.0,2490.0,85.0,282930.0,3.898541243837381e-07
iveco-matkaaja,1,34.0,2490.0,76.0,210172.0,3.898541243837381e-07
ac,1,39.0,6964.0,219.0,9198.0,3.898541243837381e-07
iveco-giottilin,1,19.0,2990.0,122.0,195800.0,3.898541243837381e-07
iveco-fiat,1,34.0,2440.0,68.0,123145.0,3.898541243837381e-07
iveco-ea,1,25.0,5880.0,134.0,512667.0,3.898541243837381e-07
iveco-ci,1,24.0,2800.0,92.0,254170.0,3.898541243837381e-07
iveco-arca,1,19.0,2980.0,122.0,198683.0,3.898541243837381e-07
iveco 35e12a,1,25.0,2800.0,90.0,189106.0,3.898541243837381e-07
iveco 35c13,1,25.0,2800.0,92.0,300853.0,3.898541243837381e-07
iveco / niesmann+bischoff,1,17.0,2998.0,130.0,101419.0,3.898541243837381e-07
zeekr,1,1.0,,,4816.0,3.898541243837381e-07
